time,lat,lon,alt
2024-01-01 00:00:00,-90.0,-82.2148329680536,-6352439.842631352
2024-01-01 00:01:00,-90.0,-77.99730297035023,-6352239.858334776
2024-01-01 00:02:00,-90.0,-73.48657346803253,-6352060.811263091
2024-01-01 00:03:00,-90.0,-68.66676599050705,-6351903.525364714
2024-01-01 00:04:00,-90.0,-63.53116453397128,-6351768.723942101
2024-01-01 00:05:00,-90.0,-58.08617383911889,-6351657.026548637
2024-01-01 00:06:00,-90.0,-52.35513409549913,-6351568.946344774
2024-01-01 00:07:00,-90.0,-46.38096732002515,-6351504.887917803
2024-01-01 00:08:00,-90.0,-40.22642601036451,-6351465.145567723
2024-01-01 00:09:00,-90.0,-33.970975622597194,-6351449.902061533
2024-01-01 00:10:00,-90.0,-27.704203677871575,-6351459.227857111
2024-01-01 00:11:00,-90.0,-21.516867437509067,-6351493.080797593
2024-01-01 00:12:00,-90.0,-15.491656724639478,-6351551.306276707
2024-01-01 00:13:00,-90.0,-9.695871109081475,-6351633.637875175
2024-01-01 00:14:00,-90.0,-4.177411979553726,-6351739.698467924
2024-01-01 00:15:00,-90.0,1.0357314613158402,-6351869.001801301
2024-01-01 00:16:00,-90.0,5.933312618180958,-6352020.954539029
2024-01-01 00:17:00,-90.0,10.519192303933536,-6352194.858774563
2024-01-01 00:18:00,-90.0,14.807341306868553,-6352389.915006577
2024-01-01 00:19:00,-90.0,18.818212945932235,-6352605.2255727975
2024-01-01 00:20:00,-90.0,22.575831875682546,-6352839.798535943
2024-01-01 00:21:00,-90.0,26.105666103134208,-6353092.55201272
2024-01-01 00:22:00,-90.0,29.43319550506225,-6353362.318935975
2024-01-01 00:23:00,-90.0,32.58303155359996,-6353647.85223545
2024-01-01 00:24:00,-90.0,35.578440177344326,-6353947.830421852
2024-01-01 00:25:00,-90.0,38.44114211095984,-6354260.863553939
2024-01-01 00:26:00,-90.0,41.19129449937823,-6354585.499566645
2024-01-01 00:27:00,-90.0,43.84758490647411,-6354920.230933944
2024-01-01 00:28:00,-90.0,46.42739103229191,-6355263.501637745
2024-01-01 00:29:00,-90.0,48.94697595466838,-6355613.714409785
2024-01-01 00:30:00,-90.0,51.42170041801602,-6355969.238212091
2024-01-01 00:31:00,-90.0,53.8662416432794,-6356328.415917468
2024-01-01 00:32:00,-90.0,56.29481337974376,-6356689.572149738
2024-01-01 00:33:00,90.0,58.72138523381531,-6356453.607248944
2024-01-01 00:34:00,90.0,61.15990125954411,-6356093.553225905
2024-01-01 00:35:00,90.0,63.624498756382785,-6355736.576400316
2024-01-01 00:36:00,90.0,66.12972833353592,-6355384.345059801
2024-01-01 00:37:00,90.0,68.6907756464531,-6355038.50567103
2024-01-01 00:38:00,90.0,71.32368358906487,-6354700.675007902
2024-01-01 00:39:00,90.0,74.04557087345806,-6354372.4324312275
2024-01-01 00:40:00,90.0,76.8748383011108,-6354055.312362477
2024-01-01 00:41:00,90.0,79.83134689262927,-6353750.796991894
2024-01-01 00:42:00,90.0,82.93654139784854,-6353460.309259103
2024-01-01 00:43:00,90.0,86.21347740672614,-6353185.206141641
2024-01-01 00:44:00,90.0,89.68668930113485,-6352926.772283546
2024-01-01 00:45:00,90.0,93.38180941996349,-6352686.213993714
2024-01-01 00:46:00,90.0,97.32481818602615,-6352464.653639909
2024-01-01 00:47:00,90.0,101.54077750195867,-6352263.124461669
2024-01-01 00:48:00,90.0,106.05189104626525,-6352082.565821783
2024-01-01 00:49:00,90.0,110.87477295425431,-6351923.8189133555
2024-01-01 00:50:00,90.0,116.01693033391327,-6351787.6229367545
2024-01-01 00:51:00,90.0,121.47271366454666,-6351674.611757822
2024-01-01 00:52:00,90.0,127.21936470533133,-6351585.311056672
2024-01-01 00:53:00,90.0,133.2142047968849,-6351520.135974601
2024-01-01 00:54:00,90.0,139.39423771395047,-6351479.389264239
2024-01-01 00:55:00,90.0,145.67919809600457,-6351463.259947215
2024-01-01 00:56:00,90.0,151.97820378592112,-6351471.8224818
2024-01-01 00:57:00,90.0,158.1989036606646,-6351505.03644207
2024-01-01 00:58:00,90.0,164.25698668039672,-6351562.746708988
2024-01-01 00:59:00,90.0,170.08376090553242,-6351644.684172794
2024-01-01 01:00:00,90.0,175.63032560754857,-6351750.466945069
2024-01-01 01:01:00,90.0,-179.13186863439992,-6351879.602077664
2024-01-01 01:02:00,90.0,-174.2132389338914,-6352031.487784659
2024-01-01 01:03:00,90.0,-169.60980509853536,-6352205.416161579
2024-01-01 01:04:00,90.0,-165.30729570012122,-6352400.576395152
2024-01-01 01:05:00,90.0,-161.28486761776801,-6352616.058454344
2024-01-01 01:06:00,90.0,-157.5180834665094,-6352850.857251501
2024-01-01 01:07:00,90.0,-153.98108093333528,-6353103.877260235
2024-01-01 01:08:00,90.0,-150.64802624732806,-6353373.937573465
2024-01-01 01:09:00,90.0,-147.49400326681823,-6353659.77738298
2024-01-01 01:10:00,90.0,-144.49549147814804,-6353960.061857893
2024-01-01 01:11:00,90.0,-141.63056226153893,-6354273.388397473
2024-01-01 01:12:00,90.0,-138.87889208218843,-6354598.293229453
2024-01-01 01:13:00,90.0,-136.22166287332988,-6354933.258322935
2024-01-01 01:14:00,90.0,-133.64139708023677,-6355276.718581831
2024-01-01 01:15:00,90.0,-131.12175791658237,-6355627.069281162
2024-01-01 01:16:00,90.0,-128.64733344701392,-6355982.673707932
2024-01-01 01:17:00,90.0,-126.20341504434478,-6356341.870964377
2024-01-01 01:18:00,90.0,-123.77577546606378,-6356702.983891197
2024-01-01 01:19:00,-90.0,-121.35044847589228,-6356440.301424363
2024-01-01 01:20:00,-90.0,-118.91350998142042,-6356080.4136577
2024-01-01 01:21:00,-90.0,-116.45085972914758,-6355723.659173983
2024-01-01 01:22:00,-90.0,-113.94800248561462,-6355371.700110943
2024-01-01 01:23:00,-90.0,-111.389828308352,-6355026.175015769
2024-01-01 01:24:00,-90.0,-108.7603931270734,-6354688.691137091
2024-01-01 01:25:00,-90.0,-106.04270367994239,-6354360.816902656
2024-01-01 01:26:00,-90.0,-103.21851540375431,-6354044.074620922
2024-01-01 01:27:00,-90.0,-100.26815887280922,-6353739.933442381
2024-01-01 01:28:00,-90.0,-97.1704207707417,-6353449.802613932
2024-01-01 01:29:00,-90.0,-93.90252023938747,-6353175.025055463
2024-01-01 01:30:00,-90.0,-90.44024177239204,-6352916.871285888
2024-01-01 01:31:00,-90.0,-86.75831171253907,-6352676.533722206
2024-01-01 01:32:00,-90.0,-82.83113478833485,-6352455.121371372
2024-01-01 01:33:00,-90.0,-78.63403327505767,-6352253.654933096
2024-01-01 01:34:00,-90.0,-74.14513928694093,-6352073.06232715
